"State","Article_Count","Year"
"Alabama",5887,"1888"
"Arizona",40065,"1888"
"Arkansas",30406,"1888"
"California",93420,"1888"
"Colorado",14790,"1888"
"Connecticut",81817,"1888"
"Delaware",50121,"1888"
"District of Columbia",49900,"1888"
"Georgia",4303,"1888"
"Hawaii",30,"1888"
"Idaho",154,"1888"
"Illinois",2910,"1888"
"Indiana",1150,"1888"
"Kansas",10634,"1888"
"Kentucky",635,"1888"
"Louisiana",4516,"1888"
"Maine",5613,"1888"
"Maryland",5930,"1888"
"Michigan",50588,"1888"
"Minnesota",34387,"1888"
"Mississippi",8634,"1888"
"Missouri",3054,"1888"
"Montana",15269,"1888"
"Nebraska",14472,"1888"
"Nevada",363,"1888"
"New Jersey",564,"1888"
"New Mexico",144,"1888"
"New York",5597,"1888"
"North Carolina",3587,"1888"
"North Dakota",5710,"1888"
"Virginia",82,"1888"
"Alabama",5747,"1889"
"Arizona",41533,"1889"
"Arkansas",21231,"1889"
"California",73969,"1889"
"Colorado",12558,"1889"
"Connecticut",86268,"1889"
"Delaware",55594,"1889"
"District of Columbia",15975,"1889"
"Florida",7556,"1889"
"Georgia",11914,"1889"
"Hawaii",2488,"1889"
"Idaho",516,"1889"
"Illinois",1110,"1889"
"Indiana",2691,"1889"
"Kansas",16557,"1889"
"Kentucky",572,"1889"
"Louisiana",6685,"1889"
"Maine",2965,"1889"
"Maryland",7466,"1889"
"Michigan",42889,"1889"
"Minnesota",30679,"1889"
"Mississippi",6283,"1889"
"Missouri",4700,"1889"
"Montana",16945,"1889"
"Nebraska",38301,"1889"
"Nevada",227,"1889"
"New Jersey",1681,"1889"
"New Mexico",192,"1889"
"New York",7736,"1889"
"North Carolina",1675,"1889"
"North Dakota",7188,"1889"
"Texas",70,"1889"
"Virginia",95,"1889"
"Alabama",5995,"1890"
"Arizona",61656,"1890"
"Arkansas",22545,"1890"
"California",87870,"1890"
"Colorado",12317,"1890"
"Connecticut",49695,"1890"
"Delaware",51455,"1890"
"District of Columbia",35767,"1890"
"Georgia",969,"1890"
"Hawaii",1838,"1890"
"Idaho",1335,"1890"
"Illinois",1128,"1890"
"Indiana",3311,"1890"
"Kansas",28641,"1890"
"Kentucky",6667,"1890"
"Louisiana",6808,"1890"
"Maine",2466,"1890"
"Maryland",3805,"1890"
"Michigan",68495,"1890"
"Minnesota",18210,"1890"
"Mississippi",2790,"1890"
"Missouri",5567,"1890"
"Montana",9833,"1890"
"Nebraska",9041,"1890"
"Nevada",93,"1890"
"New Jersey",1570,"1890"
"New Mexico",1634,"1890"
"New York",29963,"1890"
"North Carolina",2027,"1890"
"North Dakota",2438,"1890"
"Texas",134,"1890"
"West Virginia",64,"1890"
"Alabama",3418,"1891"
"Arizona",69045,"1891"
"Arkansas",22417,"1891"
"California",147801,"1891"
"Colorado",16206,"1891"
"Connecticut",51537,"1891"
"Delaware",70628,"1891"
"District of Columbia",20957,"1891"
"Georgia",2794,"1891"
"Idaho",1041,"1891"
"Illinois",3724,"1891"
"Indiana",2456,"1891"
"Kansas",29267,"1891"
"Kentucky",981,"1891"
"Louisiana",8376,"1891"
"Maine",6674,"1891"
